NameLine;NameColor;StationName;PassengerFlow
Каховская;Синия линия;Авиамоторная;5000
Люблинская;Зеленая линия;Ботанический сад;1200
Арбатско-Покровская;Синея линия;Вднх;1500
Сокольническая;Коричневая линия;Комсомольская;1500
Таганско-Краснопресненская;Красная линия;Лубянка;1200
Кольцевая;Белая линия;Новокосино;800
Филевская;Черная линия;Охотный ряд;3500
Серпуховско-Тимирязовская;Желтая линия;Парк культуры;1600
Люблинская;Зеленая линия;Полянка;1000
Замоскворецкая;Оранжевая линия;Рижская;2500
Калужско-Рижская;Зеленая линия;Щелковская;700
